at 0 ns idle                                                                            
at 83410 ns received AA                                                                     
at 170710 ns received 63                                                                     
at 258010 ns received 00                                                                     
at 345310 ns received 03                                                                     
at 432610 ns received 47                                                                     
at 1082715 ns sent AA                                                                         
at 1212923 ns sent E0                                                                         
at 1343131 ns sent 00                                                                         
at 1473340 ns sent 37                                                                         
at 1603548 ns sent 7D                                                                         
at 1782715 ns sent AA                                                                         
at 1912923 ns sent E0                                                                         
at 2043131 ns sent 00                                                                         
at 2173340 ns sent 27                                                                         
at 2303548 ns sent 0D                                                                         
at 2782715 ns sent AA                                                                         
at 2912923 ns sent 21                                                                         
at 3043131 ns sent 00                                                                         
at 3173340 ns sent 05                                                                         
at 12782715 ns sent AA                                                                         
at 12912923 ns sent 21                                                                         
at 13043131 ns sent 00                                                                         
at 13303548 ns sent 1E                                                                         
at 13582715 ns sent AA                                                                         
at 13712923 ns sent 20                                                                         
at 13843131 ns sent 00                                                                         
at 13973340 ns sent 1F                                                                         
at 14103548 ns sent 28                                                                         
at 23582715 ns sent AA                                                                         
at 23712923 ns sent 21                                                                         
at 23843131 ns sent 00                                                                         
at 23973340 ns sent 05                                                                         
at 29304710 ns received AA                                                                     
at 29392010 ns received A9                                                                     
at 29479310 ns received A0                                                                     
at 29566610 ns received 08                                                                     
at 29653910 ns received 64                                                                     
at 33582715 ns sent AA                                                                         
at 33712923 ns sent 21                                                                         
at 33843131 ns sent 00                                                                         
at 33973340 ns sent 0A                                                                         
at 34103548 ns sent 28                                                                         
at 34215110 ns received AA                                                                     
at 34302410 ns received A9                                                                     
at 34389710 ns received A0                                                                     
at 34477010 ns received 01                                                                     
at 34564310 ns received 5B                                                                     
at 39175110 ns received AA                                                                     
at 39262410 ns received A9                                                                     
at 39349710 ns received A0                                                                     
at 39437010 ns received 01                                                                     
at 39524310 ns received 5B                                                                     
at 43582715 ns sent AA                                                                         
at 43712923 ns sent 21                                                                         
at 43843131 ns sent 00                                                                         
at 43973340 ns sent 0F                                                                         
at 44103548 ns sent 33                                                                         
at 44135110 ns received AA                                                                     
at 44222410 ns received A9                                                                     
at 44309710 ns received A0                                                                     
at 44397010 ns received 02                                                                     
at 44484310 ns received 52                                                                     
at 53582715 ns sent AA                                                                         
at 53712923 ns sent 21                                                                         
at 53843131 ns sent 00                                                                         
at 54103548 ns sent 1E                                                                         
at 63582715 ns sent AA                                                                         
at 63712923 ns sent 21                                                                         
at 63843131 ns sent FF                                                                         
at 63973340 ns sent FB                                                                         
at 64103548 ns sent 26                                                                         
at 69133510 ns received AA                                                                     
at 69220810 ns received A9                                                                     
at 69308110 ns received A0                                                                     
at 69395410 ns received 06                                                                     
at 69482710 ns received 4E                                                                     
at 73582715 ns sent AA                                                                         
at 73712923 ns sent 21                                                                         
at 73843131 ns sent FF                                                                         
at 73973340 ns sent F6                                                                         
at 74093510 ns received AA                                                                     
at 74103548 ns sent 05                                                                         
at 74180810 ns received A9                                                                     
at 74268110 ns received A0                                                                     
at 74355410 ns received 01                                                                     
at 74442710 ns received 5B                                                                     
at 79053510 ns received AA                                                                     
at 79140810 ns received A9                                                                     
at 79228110 ns received A0                                                                     
at 79315410 ns received 01                                                                     
at 79402710 ns received 5B                                                                     
at 83582715 ns sent AA                                                                         
at 83712923 ns sent 21                                                                         
at 83843131 ns sent FF                                                                         
at 83973340 ns sent F1                                                                         
at 84013510 ns received AA                                                                     
at 84100810 ns received A9                                                                     
at 84103548 ns sent 10                                                                         
at 84188110 ns received A0                                                                     
at 84275410 ns received 01                                                                     
at 84362710 ns received 5B                                                                     
at 93582715 ns sent AA                                                                         
at 93712923 ns sent 21                                                                         
at 93843131 ns sent 00                                                                         
at 94103548 ns sent 1E                                                                         
at 95582715 ns sent AA                                                                         
at 95712923 ns sent 60                                                                         
at 95843131 ns sent 00                                                                         
at 95973340 ns sent 0A                                                                         
at 96103548 ns sent C5                                                                         
at 116782715 ns sent AA                                                                         
at 116912923 ns sent 61                                                                         
at 117043131 ns sent 00                                                                         
